target name,ever observable,always observable,fraction of time observable
TIC420645189,True,True,1.0
TIC288185138,True,True,1.0
TIC367753709,True,True,1.0
TIC235943205,True,True,1.0
TIC235937532,True,True,1.0
TIC137500798,True,True,1.0
TIC428988981,True,True,1.0
TIC470127886,True,True,1.0
TIC235905185,True,True,1.0
TIC237108272,True,True,1.0
TIC288631580,True,True,1.0
TIC470159478,True,True,1.0
TIC288636342,True,True,1.0
TIC264544388,True,True,1.0
TIC288735205,True,True,1.0
TIC160268701,True,True,1.0
TIC159510109,True,True,1.0
TIC394050135,True,True,1.0
TIC394029948,True,True,1.0
TIC367739494,True,True,1.0
TIC362220495,True,True,1.0
TIC103195323,True,True,1.0
TIC198485881,True,True,1.0
TIC315755496,True,True,1.0
TIC159244568,True,True,1.0
TIC288636599,True,True,1.0
TIC288516853,True,True,1.0
TIC468574941,True,True,1.0
TIC367102581,True,False,0.996
TIC422756130,True,False,0.968
TIC233497719,True,False,0.964
TIC302773669,True,False,0.936
TIC160440924,True,False,0.936
TIC103448870,True,False,0.936
TIC138168780,True,False,0.928
TIC219436394,True,False,0.928
TIC900715901,True,False,0.904
TIC142748283,True,False,0.9
TIC461387302,True,False,0.9
TIC298073824,True,False,0.896
TIC441798995,True,False,0.896
TIC376353509,True,False,0.896
TIC408618999,True,False,0.896
TIC364074068,True,False,0.892
TIC407059875,True,False,0.884
TIC52041724,True,False,0.868
TIC233500935,True,False,0.868
TIC389900760,True,False,0.86
TIC102672709,True,False,0.856
TIC53617134,True,False,0.852
TIC219462190,True,False,0.852
TIC302518439,True,False,0.848
TIC284050395,True,False,0.844
TIC365938305,True,False,0.84
TIC317507345,True,False,0.84
TIC71347873,True,False,0.832
TIC219698776,True,False,0.828
TIC441765914,True,False,0.824
TIC374400599,True,False,0.824
TIC468828873,True,False,0.824
TIC149833117,True,False,0.816
TIC396740648,True,False,0.816
TIC160045097,True,False,0.816
TIC339538183,True,False,0.808
TIC71431780,True,False,0.808
TIC219466784,True,False,0.808
TIC349827430,True,False,0.8
TIC418987806,True,False,0.796
TIC237232044,True,False,0.796
TIC103633672,True,False,0.792
TIC147951030,True,False,0.792
TIC417705690,True,False,0.788
TIC160487753,True,False,0.788
TIC285048486,True,False,0.788
TIC229586455,True,False,0.78
TIC50120414,True,False,0.776
TIC444415148,True,False,0.776
TIC103633434,True,False,0.776
TIC147576037,True,False,0.776
TIC154568734,True,False,0.776
TIC235678745,True,False,0.776
TIC424391516,True,False,0.772
TIC51024887,True,False,0.772
TIC147950620,True,False,0.768
TIC85031598,True,False,0.768
TIC458914949,True,False,0.764
TIC310981412,True,False,0.764
TIC229650439,True,False,0.76
TIC232971294,True,False,0.76
