target name,ever observable,always observable,fraction of time observable
TIC435680451,True,True,1.0
TIC367739494,True,True,1.0
TIC288735205,True,True,1.0
TIC288185138,True,True,1.0
TIC315755496,True,True,1.0
TIC394050135,True,True,1.0
TIC395393265,True,True,1.0
TIC288636599,True,True,1.0
TIC372757221,True,True,1.0
TIC288631580,True,True,1.0
TIC288516853,True,True,1.0
TIC288132261,True,True,1.0
TIC264544388,True,True,1.0
TIC235937532,True,True,1.0
TIC396562848,True,True,1.0
TIC407394748,True,True,1.0
TIC159510109,True,True,1.0
TIC159244568,True,True,1.0
TIC142117976,True,True,1.0
TIC158002130,True,True,1.0
TIC470127886,True,True,1.0
TIC470159478,True,True,1.0
TIC137500798,True,True,1.0
TIC142090065,True,True,1.0
TIC367753709,True,True,1.0
TIC362220495,True,True,1.0
TIC428988981,True,False,0.9908675799086758
TIC237108272,True,False,0.9360730593607306
TIC420645189,True,False,0.9178082191780822
TIC468574941,True,False,0.9178082191780822
TIC235905185,True,False,0.9178082191780822
TIC445805961,True,False,0.91324200913242
TIC288636342,True,False,0.91324200913242
TIC235943205,True,False,0.908675799086758
TIC198485881,True,False,0.8995433789954338
TIC394029948,True,False,0.8995433789954338
TIC103195323,True,False,0.8949771689497716
TIC160268701,True,False,0.8858447488584474
TIC367102581,True,False,0.8767123287671232
TIC422756130,True,False,0.8447488584474886
TIC233497719,True,False,0.8401826484018264
TIC160440924,True,False,0.8082191780821918
TIC302773669,True,False,0.8082191780821918
TIC103448870,True,False,0.8082191780821918
TIC219436394,True,False,0.7990867579908676
TIC346929661,True,False,0.7990867579908676
TIC138168780,True,False,0.7990867579908676
TIC403256331,True,False,0.7990867579908676
TIC396356111,True,False,0.7945205479452054
TIC461387302,True,False,0.7945205479452054
TIC407059875,True,False,0.7899543378995434
TIC445144327,True,False,0.7899543378995434
TIC445254275,True,False,0.7853881278538812
TIC312259170,True,False,0.7853881278538812
TIC354600221,True,False,0.7853881278538812
TIC285542903,True,False,0.7808219178082192
TIC418987806,True,False,0.7808219178082192
TIC444415148,True,False,0.7808219178082192
TIC284441182,True,False,0.7808219178082192
TIC284050395,True,False,0.7808219178082192
TIC332154944,True,False,0.776255707762557
TIC285543785,True,False,0.776255707762557
TIC52041724,True,False,0.776255707762557
TIC256414077,True,False,0.776255707762557
TIC420288086,True,False,0.776255707762557
TIC327579226,True,False,0.771689497716895
TIC53709089,True,False,0.771689497716895
TIC900715901,True,False,0.771689497716895
TIC142748283,True,False,0.7671232876712328
TIC53617134,True,False,0.7671232876712328
TIC441798995,True,False,0.7625570776255708
TIC408618999,True,False,0.7625570776255708
TIC389900760,True,False,0.7625570776255708
TIC376353509,True,False,0.7625570776255708
TIC298073824,True,False,0.7625570776255708
TIC348673213,True,False,0.7625570776255708
TIC364074068,True,False,0.7579908675799086
TIC348135793,True,False,0.7579908675799086
TIC445137888,True,False,0.7534246575342466
TIC251384275,True,False,0.7488584474885844
TIC312862941,True,False,0.7488584474885844
TIC374400599,True,False,0.7442922374429224
TIC403308915,True,False,0.7442922374429224
TIC312469860,True,False,0.7442922374429224
TIC245462406,True,False,0.7442922374429224
TIC50120414,True,False,0.7397260273972602
TIC370759867,True,False,0.7397260273972602
TIC51024887,True,False,0.7397260273972602
TIC316254876,True,False,0.7351598173515982
TIC82010657,True,False,0.7351598173515982
TIC347013211,True,False,0.7351598173515982
TIC71854745,True,False,0.730593607305936
TIC81831095,True,False,0.730593607305936
TIC87090944,True,False,0.730593607305936
TIC312678993,True,False,0.730593607305936
